,symbol,avgvol,avgvwap,avgdelvol,avgpctdel
305,DIXON,82427.23451327434,3260.6915486725657,27730.557522123894,0.4341668141592919
306,DLF,7652432.440816326,209.6854285714285,1238779.5632653062,0.1525522448979592
307,DLINKINDIA,343494.69942196534,113.42508670520233,116776.8612716763,0.44057630057803443
308,DMART,867239.5877551021,1298.8024489795919,335406.98775510205,0.3805955102040817
309,DOLLAR,42296.38367346939,464.59432653061225,32345.44081632653,0.7465599999999993
310,DOLPHINOFF,330561.2530612245,93.6028979591837,75090.71836734694,0.27661020408163267
311,DONEAR,108386.94581280788,54.6534975369458,50537.37438423646,0.6124024630541873
312,DPSCLTD,64274.88979591837,29.5856326530612,44313.461224489794,0.6868934693877551
313,DREDGECORP,389064.0163265306,625.838612244898,73419.38367346939,0.2504959183673471
314,DRREDDY,746893.8489795919,2228.028489795918,233361.53469387756,0.3256991836734696
315,DSSL,23105.61224489796,38.401224489795894,12585.179591836735,0.6373244897959184
316,DTIL,7459.161559888579,292.9123398328691,4941.8551532033425,0.7306027855153201
317,DUCON,210568.52653061223,33.32759183673473,109263.4775510204,0.6284355102040815
318,DWARKESH,1713313.3755102041,41.74477551020409,759582.6408163265,0.4716440816326532
319,DYNAMATECH,2956.3673469387754,1929.4187346938772,1901.0816326530612,0.7415538775510204
320,DYNPRO,34188.01075268817,162.45387096774192,20589.516129032258,0.6735456989247314
321,ECEIND,4172.893004115226,290.50452674897116,1562.477366255144,0.5920798353909466
322,ECLERX,40408.98367346939,1322.4353877551023,26107.832653061225,0.7033395918367351
323,EDELWEISS,2434926.6938775512,281.65253061224473,1311899.4857142856,0.5473763265306124
324,EDL,83247.00564971751,36.15932203389829,33994.87570621469,0.6204175141242936
325,EICHERMOT,43663.4,29567.844857142867,24626.097959183673,0.545084081632653
326,EIDPARRY,173480.11428571428,305.06310204081643,83804.0612244898,0.5065689795918364
327,EIHAHOTELS,24944.258196721312,446.1792213114755,5366.44262295082,0.5155463114754095
